Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
AHNMF,ARCHON MINERALS LTD,8162550.00,Materials,Metals & Mining,--,-0.3
AHNR,Athena Silver Corp,2351780.00,,,--,+1.7
AHPI,Allied Healthcare Products Inc,19723990.00,Health Care,Health Care Equipment & Supplies,--,-5.1
AHROQ,AtheroNova Inc.,30830.00,Health Care,Pharmaceuticals,--,-8.6
AHT,"Ashford Hospitality Trust, Inc.",204088940.00,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+2.5
AIBEF,AIR BERLIN PLC LONDON SHS,467200.00,,,--,+3.5
AIDA,"AIDA Pharmaceuticals, Inc.",750600.00,Health Care,Pharmaceuticals,--,-2.1
AIFM,Aifarm Ltd,86900.00,Industrials,Machinery,--,--
AIFS,Agent Information Software Inc,15438750.00,,,1.09%,+0.4
AIGI,Axia International Group Inc,35800.00,,,--,--
AIH,Aesthetic Medical International HldngsGL,116175960.00,Health Care,Health Care Providers & Services,--,--
AIHS,Senmiao Technology Ltd,52002610.00,Financials,Consumer Finance,--,--
AIKI,Aikido Pharma Inc,23749090.00,Industrials,Professional Services,--,+1.8
AIKO,Alternative Investment Corp,915840.00,,,--,-5.7
AILLP,Ameren Illinois Co,14184000.00,,,4.06%,-0.0
AILQF,AIRIQ INC,8650410.00,Information Technology,Software,--,+1.1
AIM,AIM ImmunoTech Inc,72783190.00,Health Care,Biotechnology,--,-0.9
AINC,Ashford Inc,16345600.00,Financials,Capital Markets,--,+2.6
AINV,Apollo Investment Corp.,730248210.00,Financials,Capital Markets,11.03%,+2.1
AIO,Allianzgi Artificial Intllgnc&TechOppFnd,855672390.00,,,5.17%,--
AIOM,Axiom Holdings Inc,34000.00,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
AIOSF,ATRESMEDIA CORPORACION SHS,810640800.00,,,--,+1.1
AIPG,AI Technology Group Inc.,1048310.04,,,--,--
AIRG,Airgain Inc,137435760.00,Information Technology,"Electronic Equipment, Instruments & Components",--,+1.2
AIRI,Air Industries Group,39027900.00,Industrials,Aerospace & Defense,--,+1.2
AIRO,Airspan Networks Inc,1890500.00,Information Technology,Communications Equipment,--,+0.9
AIRRF,AURION RESOURCES LTD,71172490.00,Materials,Metals & Mining,--,+1.4
AIRT,"Air T, Inc.",31529080.00,Industrials,Air Freight & Logistics,--,+1.2
AITA,Wunong Asia Pacific Co Ltd,102300.00,,,--,--
AITVF,ASIAN TELEVISION NETWRK INTL,2293880.00,Communication Services,Media,--,+0.7
AIVN,"American International Ventures, Inc.",2918880.00,Materials,Metals & Mining,--,+2.2
AIXN,AiXin Life International Inc,300000000.00,Consumer Discretionary,Distributors,--,+1.2
AJIA,Ajia Innogroup Holdings Ltd,91008000.00,,,--,--
AJLGF,AJ LUCAS GROUP LIMITED SHS,47851480.00,,,--,+1.0
AJX,Great Ajax Corp,239323260.00,Financials,Mortgage Real Estate Investment Trusts (REITs),6.35%,+1.7
AKAOQ,Achaogen Inc,407550.00,Health Care,Biotechnology,--,-0.9
AKAVF,ENVIROTEK REMEDIATION INC,0.00,Industrials,Commercial Services & Supplies,--,--
AKBA,Akebia Therapeutics Inc,423499270.00,Health Care,Biotechnology,--,+2.1
